STT,Từ vựng,Phiên âm,tiếng Việt
1,爱,ài,"yêu, thích"
2,爱好,àihào,sở thích
3,八,bā,số 8
4,爸爸｜爸,bàba｜bà,"bố, ba, cha"
5,吧,ba,"nào, nhé, chứ, đi (trợ từ)"
6,白,bái,trắng
7,白天,báitiān,ban ngày
8,百,bǎi,một trăm
9,班,bān,lớp
10,半,bàn,một nửa
11,半年,bàn nián,nửa năm
12,半天,bàn tiān,nửa ngày
13,帮,bāng,giúp đỡ
14,帮忙,bāng//máng,giúp đỡ
15,包,bāo,"bao, cái túi; gói, bọc"
16,包子,bāozi,bánh bao
17,杯,bēi,"cốc, ly"
18,杯子,bēizi,"cốc, chén, ly"
19,北,běi,bắc
20,北边,běibiān,phía Bắc
21,北京,Běijīng,Bắc Kinh
22,本,běn,"cuốn, quyển, tập"
23,本子,běn zi,"vở, cuốn vở"
24,比,bǐ,"so, so với"
25,别,bié,"đừng, không được"
26,别的,biéde,cái khác
27,别人,bié·rén,"người khác, người ta"
28,病,bìng,bệnh
29,病人,bìngrén,bệnh nhân
30,不大,bú dà,"nhỏ, không lớn"
31,不对,búduì,không đúng
32,不客气,bú kèqi,không có gì
33,不用,búyòng,không cần
34,不,bù,không
35,菜,cài,"đồ ăn, món ăn"
36,差,chà,"thiếu, kém"
37,茶,chá,trà
38,常,cháng,thường
39,常常,chángcháng,thường thường
40,唱,chàng,hát
41,唱歌,chànggē,"hát, ca hát"
42,车,chē,xe
43,车票,chēpiào,vé xe
44,车上,chē shang,trên xe
45,车站,chēzhàn,bến xe
46,吃,chī,ăn
47,吃饭,chī//fàn,ăn cơm
48,出,chū,"ra, xuất"
49,出来,chūlái,"xuất hiện, đi ra"
50,出去,chūqù,"ra, ra ngoài"
51,穿,chuān,mặc
52,床,chuáng,"giường, đệm"
53,次,cì,lần
54,从,cóng,"từ, qua, theo"
55,错,cuò,sai
56,打,dǎ,"đánh, bắt"
57,打车,dǎchē,bắt xe
58,打电话,dǎ diànhuà,gọi điện
59,打开,dǎkāi,"mở, mở ra"
60,打球,dǎ qiú,chơi bóng
61,大,dà,"to, lớn"
62,大学,dàxué,đại học
63,大学生,dàxuéshēng,sinh viên đại học
64,到,dào,"đến, tới"
65,得到,dédào,"đạt được, nhận được"
66,地,de,biểu thị từ trước nó là trạng ngữ
67,的,de,(biểu thị sự sở hữu) của
68,等,děng,"đợi, chờ"
69,地,dì,"đất, lục địa; trái đất"
70,地点,dìdiǎn,"địa điểm, nơi chốn"
71,地方,dìfang,"nơi, địa phương"
72,地上,dìshang,trên mặt đất
73,地图,dìtú,bản đồ
74,弟弟| 弟,dìdi|dì,em trai
75,第（第二）,dì（dì-èr）,thứ … (số thứ tự)
76,点,diǎn,"ít, chút, hơi"
77,电,diàn,"điện, pin."
78,电话,diànhuà,điện thoại
79,电脑,diànnǎo,máy tính
80,电视,diànshì,truyền hình; TV
81,电视机,diànshìjī,(chiếc) TV
82,电影,diànyǐng,"điện ảnh, phim (nói chung)"
83,电影院,diànyǐngyuàn,rạp chiếu phim
84,东,dōng,đông
85,东边,dōngbian,phía đông
86,东西,dōngxi,"đồ đạc, đồ, vật"
87,动,dòng,"động, chạm"
88,动作,dòngzuò,"động tác, hoạt động"
89,都,dōu,đều
90,读,dú,đọc
91,读书,dú//shū,đọc sách
92,对,duì,đúng
93,对不起,duìbuqǐ,xin lỗi
94,多,duō,Nhiều (đại từ nghi vấn) bao nhiêu
95,多少,duōshǎo,bao nhiêu
96,饿,è,đói
97,儿子,érzi,con trai
98,二,èr,số 2
99,饭,fàn,cơm
100,饭店,fàndiàn,quán ăn/ nhà hàng
101,房间,fángjiān,căn phòng
102,房子,fángzi,căn nhà/ căn hộ
103,放,fàng,"thả, đặt, để"
104,放假,fàng//jià,"nghỉ, nghỉ định kỳ"
105,放学,fàng//xué,tan học
106,飞,fēi,bay
107,飞机,fēijī,máy bay
108,非常,fēicháng,"vô cùng, hết sức, rất"
109,分,fēn,phút
110,风,fēng,gió
111,干,gān,khô
112,干净,gānjìng,sạch sẽ
113,干,gàn,làm
114,干什么,gànshénme,làm gì đó
115,高,gāo,cao
116,高兴,gāoxìng,"vui vẻ, vui mừng"
117,告诉,gàosù,"nói, kể lại"
118,哥哥｜哥,gēge｜gē,anh trai
119,歌,gē,bài hát
120,个,gè,cái
121,给,gěi,cho
122,跟,gēn,"và, cùng"
123,工人,gōngrén,"công nhân, người lao động nói chung"
124,工作,gōngzuò,công việc
125,关（动）,guān,đóng
126,关上,guānshàng,khép vào
127,贵,guì,đắt
128,国,guó,"đất nước, nước nhà, Tổ quốc"
129,国家,guójiā,"đất nước, Quốc Gia"
130,国外,guó wài,nước ngoài
131,过,guò,"(đi) qua, (bước) qua"
132,还,hái,"vẫn, còn"
133,还是,háishi,hay là
134,还有,hái yǒu,"còn có, còn nữa là"
135,孩子,háizi,"đứa trẻ, con (tôi)"
136,汉语,Hànyǔ,(ngôn ngữ) tiếng Trung
137,汉字,Hànzì,chữ Hán
138,好,hǎo,"tốt, đẹp"
139,好吃,hǎochī,ngon
140,好看,hǎokàn,"đẹp, xinh, hay"
141,好听,hǎotīng,"êm tai, du dương, dễ nghe"
142,好玩儿,hǎowánr,(chơi) vui
143,号,hào,ngày
144,喝,hē,uống
145,和,hé,và
146,很,hěn,rất
147,后,hòu,sau
148,后边,hòubian,phía sau
149,后天,hòutiān,ngày kia
150,花,huā,đóa hoa
151,话,huà,lời nói
152,坏,huài,"xấu, hỏng"
153,还,huán,trả
154,回,huí,"quay lại, về"
155,回答,huídá,trả lời
156,回到,huídào,quay về
157,回家,huí jiā,về nhà
158,回来,huí//·lái,"về, quay về (hướng gần)"
159,回去,huí//·qù,"về, quay về (hướng xa)"
160,会,huì,"sẽ, biết làm"
161,火车,huǒchē,xe lửa
162,机场,jīchǎng,sân bay
163,机票,jīpiào,vé máy bay
164,鸡蛋,jīdàn,trứng gà
165,几,jǐ,"mấy, vài"
166,记,jì,nhớ
167,记得,jìde,ghi nhớ
168,记住,jìzhù,nhớ kĩ
169,家,jiā,nhà
170,家里,jiā lǐ,trong nhà
171,家人,jiārén,"người nhà, người trong gia đình"
172,间,jiān,giữa
173,见,jiàn,"gặp, thấy"
174,见面,jiàn//miàn,gặp mặt
175,教,jiāo,dạy
176,叫（动）,jiào,"gọi, kêu"
177,教学楼,jiàoxuélóu,khu nhà dạy học
178,姐姐｜姐,jiějie｜jiě,chị gái
179,介绍,jièshào,giới thiệu
180,今年,jīnnián,năm nay
181,今天,jīntiān,ngày hôm nay
182,进,jìn,vào
183,进来,jìn//·lái,bước vào (lại gần chỗ người nói)
184,进去,jìn//·qù,"bước vào (chỗ đó đi, xa người nói)"
185,九,jiǔ,số 9
186,就,jiù,"đã; lập tức, ngay"
187,觉得,juéde,cảm thấy
188,开,kāi,mở
189,开车,kāi//chē,lái xe
190,开会,kāi//huì,"mở họp, họp"
191,开玩笑,kāi wánxiào,nói đùa
192,看,kàn,"nhìn, xem, ngắm"
193,看病,kàn//bìng,khám bệnh
194,看到,kàndào,nhìn thấy
195,看见,kàn//jiàn,nhìn thấy
196,考,kǎo,thi
197,考试,kǎo//shì,kì thi
198,渴,kě,khát
199,课,kè,tiết (học)
200,课本,kèběn,sách giáo khoa
201,课文,kèwén,"bài khóa, bài đọc"
202,口,kǒu,lượng chỉ người trong gia đình
203,块,kuài,tệ (đơn vị tiền tệ)
204,快,kuài,nhanh
205,来,lái,"đến, tới"
206,来到,láidào,đến
207,老,lǎo,"già, cũ, cổ"
208,老人,lǎorén,người già
209,老师,lǎoshī,"thầy, cô giáo"
210,了,le,trợ từ biểu thị sự thay đổi
211,累,lèi,mệt mỏi
212,冷,lěng,lạnh
213,里,lǐ,"trong, bên trong"
214,里边,lǐbian,phía trong
215,两,liǎng,hai
216,零|0,líng|0,số 0
217,六,liù,số 6
218,楼,lóu,"tầng, lầu"
219,楼上,lóu shàng,tầng trên
220,楼下,lóu xià,tầng dưới
221,路,lù,đường xá
222,路口,lùkǒu,"giao lộ, đường giao nhau, ngã ba đường"
223,路上,lùshang,trên đường
224,妈妈｜妈,māma｜mā,mẹ
225,马路,mǎlù,"đường cái, đường quốc lộ"
226,马上,mǎshàng,"lập tức, ngay"
227,吗,ma,từ để hỏi
228,买,mǎi,mua
229,慢,màn,"chậm, từ từ"
230,忙,máng,"bận, bận rộn"
231,毛,máo,lượng từ
232,没,méi,không
233,没关系,méi guānxi,không sao
234,没什么,méi shénme,không có gì
235,没事儿,méi//shìr,không có việc gì
236,没有,méi·yǒu,không có
237,妹妹｜妹,mèimei｜mèi,em gái
238,门,mén,cửa
239,门口,ménkǒu,"cửa, cổng"
240,门票,ménpiào,vé vào cửa
241,们（朋友们,men（péngyǒumen）,từ chỉ số nhiều
242,米饭,mǐfàn,cơm
243,面包,miànbāo,bánh mì
244,面条儿,miàntiáor,mì sợi
245,名字,míngzi,tên
246,明白,míngbai,"biết, hiểu"
247,明年,míngnián,"năm sau, năm tới"
248,明天,míngtiān,ngày mai
249,拿,ná,"lấy, cầm"
250,哪,nǎ,nào
251,哪里,nǎ·lǐ,"đâu, ở đâu, ở chỗ nào"
252,哪儿,nǎr,"đâu, ở đâu"
253,哪些,nǎxiē,những … nào
254,那（代）,nà,"kia, ấy, vậy, vậy thì"
255,那边,nàbiān,bên kia
256,那里,nà·lǐ,"ở đó, nơi đó"
257,那儿,nàr,"ở đó, nơi đó"
258,那些,nàxiē,"những … ấy, những kia"
259,奶,nǎi,sữa
260,奶奶,nǎinai,"bà nội, bà"
261,男,nán,nam (giới tính nam)
262,男孩儿,nánháir,bạn bé
263,男朋友,nánpéngyǒu,bạn trai
264,男人,nánrén,"con trai, đàn ông"
265,男生,nánshēng,"nam sinh, học sinh nam"
266,南,nán,nam
267,南边,nánbian,phía nam
268,难,nán,khó
269,呢,ne,"đâu, thế, nhỉ, vậy…"
270,能,néng,có thể
271,你,nǐ,"anh, chị, bạn, …"
272,你们,nǐmen,"các anh, các chị, các bạn"
273,年,nián,năm
274,您,nín,"ngài, ông, bà (thể hiện sự kính trọng)"
275,牛奶,niúnǎi,sữa bò
276,女,nǚ,nữ (giới tính nữ)
277,女儿,nǚ’ér,con gái
278,女孩儿,nǚháir,cô bé
279,女朋友,nǚpéngyǒu,bạn gái
280,女人,nǚrén,"con gái, phụ nữ"
281,女生,nǚshēng,"nữ sinh, học sinh nữ"
282,旁边,pángbiān,bên cạnh
283,跑,pǎo,chạy
284,朋友,péngyǒu,"bạn, bạn bè"
285,票,piào,"vé, phiếu"
286,七,qī,số 7
287,起,qǐ,dậy
288,起床,qǐ//chuáng,"thức dậy, ngủ dậy"
289,起来,qǐ//·lái,"ngồi dậy, đứng đậy, thức dậy"
290,汽车,qìchē,"ôtô, xe hơi"
291,前,qián,trước
292,前边,qiánbian,phía trước
293,前天,qiántiān,"hôm kia, hôm trước"
294,钱,qián,tiền
295,钱包,qiánbāo,ví tiền
296,请,qǐng,mời
297,请假,qǐng//jià,xin nghỉ phép
298,请进,qǐng jìn,mời vào
299,请问,qǐngwèn,xin hỏi
300,请坐,qǐng zuò,mời ngồi
301,球,qiú,quả bóng
302,去,qù,đi
303,去年,qùnián,"năm ngoái, năm vừa rồi"
304,热,rè,nóng
305,人,rén,người
306,认识,rènshi,"biết, quen"
307,认真,rènzhēn,"nghiêm túc, chăm chỉ"
308,日,rì,ngày
309,日期,rìqī,ngày (xác định)
310,肉,ròu,thịt
311,三,sān,số 3
312,山,shān,núi
313,商场,shāngchǎng,trung tâm thương mại
314,商店,shāngdiàn,"tiệm tạp hóa, cửa hàng"
315,上,shàng,trên
316,上班,shàng//bān,đi làm
317,上边,shàngbiān,bên trên
318,上车,shàngchē,lên xe
319,上次,shàngcì,lần trước
320,上课,shàngkè,"vào lớp, đi học"
321,上网,shàngwǎng,lên mạng
322,上午,shàngwǔ,buổi sáng
323,上学,shàngxué,(đang) đi học
324,少,shǎo,"ít, thiếu"
325,谁,shéi,ai
326,身上,shēnshang,trên người
327,身体,shēntǐ,"cơ thể, sức khỏe"
328,什么,shénme,cái gì
329,生病,shēngbìng,"đổ bệnh, bị ốm"
330,生气,shēngqì,tức giận
331,生日,shēngrì,ngày sinh nhật
332,十,shí,số 10
333,时候,shíhòu,"thời gian, lúc"
334,时间,shíjiān,thời gian
335,事,shì,"chuyện, việc"
336,试,shì,thử
337,是,shì,thì. là
338,是不是,shìbùshì,có phải hay không
339,手,shǒu,tay
340,手机,shǒujī,điện thoại di động
341,书,shū,sách
342,书包,shūbāo,cặp sách
343,书店,shūdiàn,"cửa hàng sách, tiệm sách"
344,树,shù,cây
345,水,shuǐ,nước
346,水果,shuǐguǒ,nước hoa quả. nước ép
347,睡,shuì,ngủ
348,睡觉,shuìjiào,ngủ
349,说,shuō,nói
350,说话,shuōhuà,"nói, trò chuyện"
351,四,sì,số 4
352,送,sòng,"tặng, đưa cho"
353,岁,suì,tuổi
354,他,tā,"anh ấy, ông ấy (ngôi 3 chỉ nam)"
355,他们,tāmen,"các anh ấy, bọn họ (nam)"
356,她,tā,"cô ấy, bà ấy (ngôi 3 chỉ nữ)"
357,她们,tāmen,các cô ấy
358,太,tài,quá
359,天,tiān,trời
360,天气,tiānqì,thời tiết
361,听,tīng,nghe
362,听到,tīngdào,nghe thấy
363,听见,tīngjiàn,nghe thấy
364,听写,tīngxiě,nghe viết
365,同学,tóngxué,bạn học
366,图书馆,túshūguǎn,thư viện
367,外,wài,ngoài
368,外边,wàibiān,bên ngoài
369,外国,wàiguó,nước ngoài
370,外语,wàiyǔ,"tiếng nước ngoài, ngoại ngữ"
371,玩儿,wánr,chơi
372,晚,wǎn,"buổi tối, muộn"
373,晚饭,wǎnfàn,"cơm tối, bữa tối"
374,晚上,wǎnshang,buổi tối
375,网上,wǎng shang,trên mạng
376,网友,wǎngyǒu,bạn trên mạng
377,忘,wàng,quên
378,忘记,wàngjì,"quên, quên mất"
379,问,wèn,hỏi
380,我,wǒ,"tôi, tớ, bạn (ngôi thứ nhất)"
381,我们,wǒmen,chúng ta (nhiều người)
382,五,wǔ,số 5
383,午饭,wǔfàn,bữa trưa
384,西,xī,tây
385,西边,xībian,phía tây
386,洗,xǐ,rửa
387,洗手间,xǐshǒujiān,nhà vệ sinh
388,喜欢,xǐhuān,"thích, được yêu thích"
389,下（名、动,xià,xuống dưới bên dưới
,,,
390,下班,xià//bān,tan làm
391,下边,xiàbian,bên dưới
392,下车,xià chē,xuống xe
393,下次,xià cì,"lần kế tiếp, lần sau"
394,下课,xià//kè,tan học
395,下午,xiàwǔ,buổi chiều
396,下雨,xià yǔ,đổ mưa
397,先,xiān,trước
398,先生,xiānsheng,quý ông (gọi tôn kính)
399,现在,xiànzài,"hiện tại, bây giờ"
400,想,xiǎng,"muốn, suy nghĩ"
401,小,xiǎo,"nhỏ, bé"
402,小孩儿,xiǎoháir,trẻ em
403,小姐,xiǎojiě,"tiểu thư, cô, em"
404,小朋友,xiǎopéngyǒu,"trẻ em, bạn nhỏ"
405,小时,xiǎoshí,"tiếng, giờ đồng hồ"
406,小学,xiǎoxué,bậc tiểu học
407,小学生,xiǎoxuéshēng,học sinh tiểu học
408,笑,xiào,cười
409,写,xiě,viết
410,谢谢,xièxie,cảm ơn
411,新,xīn,mới
412,新年,xīnnián,năm mới
413,星期,xīngqī,"tuần, thứ"
414,星期日,xīngqīrì,chủ nhật
415,星期天,xīngqītiān,chủ nhật
416,行,xíng,"được, ổn"
417,休息,xiūxi,nghỉ ngơi
418,学,xué,học
419,学生,xué·shēng,"học sinh, sinh viên"
420,学习,xuéxí,học tập
421,学校,xuéxiào,trường học
422,学院,xuéyuàn,học viện
423,要（动）,yào,"muốn, cần, phải"
424,爷爷,yéye,"ông nội, ông"
425,也,yě,cũng
426,页,yè,trang
427,一,yī,số 1
428,衣服,yīfu,quần áo
429,医生,yīshēng,bác sĩ
430,医院,yīyuàn,bệnh viện
431,一半,yíbàn,một nửa
432,一会儿,yíhuìr,"một chốc, một lát"
433,一块儿,yíkuàir,"cùng nơi, cùng chỗ, cùng nhau"
434,一下儿,yíxiàr,"một lát, một lúc"
435,一样,yíyàng,"giống nhau, như nhau"
436,一边,yìbiān,"một bên, một mặt"
437,一点儿,yìdiǎnr,một chút
438,一起,yìqǐ,cùng
439,一些,yìxiē,"một ít, một chút"
440,用,yòng,"dùng, sử dụng"
441,有,yǒu,có
442,有的,yǒude,có
443,有名,yǒu//míng,nổi tiếng
444,有时候/有时,yǒushíhou｜y,có lúc
445,有（一）些,yǒu（yì）xiē,có một tí
446,有用,yǒuyòng,"có ích, có tác dụng"
447,右,yòu,bên phải
448,右边,yòubian,phía bên phải
449,雨,yǔ,mưa
450,元,yuán,đồng (đơn vị tiền tệ)
451,远,yuǎn,xa
452,月,yuè,"mặt trăng, tháng"
453,再,zài,lại
454,再见,zàijiàn,hẹn gặp lại/ Tạm biệt
455,在,zài,"đang, ở tại"
456,在家,zàijiā,ở nhà
457,早,zǎo,sớm
458,早饭,zǎofàn,bữa sáng
459,早上,zǎoshàng,buổi sáng
460,怎么,zěnme,"làm sao, thế nào"
461,站（名）,zhàn,"bến, trạm"
462,找,zhǎo,tìm
463,找到,zhǎodào,tìm thấy
464,这,zhè,"này, đây"
465,这边,zhèbiān,bên này
466,这里,zhè·lǐ,nơi đây
467,这儿,zhèr,đây
468,这些,zhèxiē,những cái này
469,着,zhe,
470,真,zhēn,thật là
471,真的,zhēnde,Thật ư? Thật đó!
472,正（副）,zhèng,"khéo, chính,…"
473,正在,zhèngzài,đang
474,知道,zhī·dào,biết
475,知识,zhīshì,kiến thức
476,中,zhōng,giữa
477,中国,Zhōngguó,nước Trung Quốc
478,中间,zhōngjiān,giữa
479,中文,Zhōngwén,(văn tự) Tiếng Trung
480,中午,zhōngwǔ,buổi trưa
481,中学,zhōngxué,cấp Trung học
482,中学生,zhōngxuéshēn,học sinh Trung học
483,重,zhòng,nặng
484,重要,zhòngyào,quan trọng
485,住,zhù,ở tại
486,准备,zhǔnbèi,chuẩn bị
487,桌子,zhuōzi,cái bàn
488,字,zì,"chữ, chữ viết, văn tự"
489,子（桌子）,zi（zhuōzi）,cái
490,走,zǒu,đi
491,走路,zǒu//lù,"đi đường, đi bộ"
492,最,zuì,"nhất, số một"
493,最好,zuìhǎo,tốt nhất
494,最后,zuìhòu,"cuối cùng, sau cùng"
495,昨天,zuótiān,hôm qua
496,左,zuǒ,bên trái
497,左边,zuǒbiān,bên trái
498,坐,zuò,ngồi
499,坐下,zuòxià,ngồi xuống
500,做,zuò,làm
